Provincia,Partido,Unnamed: 2,Poblacion,ADSL,CABLEMODEM,Unnamed: 6,FIBRAOPTICA,SATELITAL,WIRELESS,TELEFONIAFIJA,3G,4G,Unnamed: 13,Latitud,Longitud
0,Benito Juárez,Villa Cacique (Est Alfredo Fortabat),00,0,--,--,0,0,SI,--,0,0,60840500,"-37,6704778893557",0
BUENOS AIRES,Berazategui,Berazategui,00,SI,SI,SI,0,SI,SI,SI,0,SI,60910100,"-34,7597493264937",0
BUENOS AIRES,0,0,877920,SI,0,0,SI,--,0,SI,SI,SI,00,"-34,7804201858899","-58,2415010261207"
BUENOS AIRES,Berazategui,0,116950,SI,SI,0,SI,--,--,0,SI,SI,60910100,0,"-58,2188212494897"
BUENOS AIRES,0,0,78470,SI,0,0,--,--,SI,SI,0,SI,60910100,"-34,9067557072114",0
CORDOBA,0,Sarmiento,12880,SI,0,--,--,--,0,SI,0,0,141680900,"-30,7741941000543","-64,1089868115808"
CORDOBA,Totoral,Simbolar,00,--,--,--,0,--,--,0,--,--,141681000,0,"-63,9850395218446"
0,Berazategui,Guillermo E Hudson,494580,0,SI,SI,SI,0,--,0,SI,SI,00,0,"-58,1439692638183"
BUENOS AIRES,0,Juan María Gutierrez,148680,SI,0,SI,SI,--,0,SI,SI,0,60910100,"-34,8348420760566","-58,1819061125702"
BUENOS AIRES,0,0,12910,SI,0,0,SI,--,0,SI,0,SI,60910100,"-34,8471945391094",0
BUENOS AIRES,0,Plátanos,179610,--,0,--,SI,--,0,0,SI,SI,60910100,0,"-58,1652686003148"
BUENOS AIRES,Berazategui,0,171830,SI,0,0,SI,SI,--,0,SI,SI,00,0,"-58,1989815634425"
0,Berazategui,Villa España,152050,0,SI,--,SI,0,--,SI,0,SI,60910100,"-34,776063416904",0
BUENOS AIRES,Berisso,Barrio Banco Provincia,00,--,--,--,0,0,--,--,0,0,60980100,"-34,8752589900973",0
BUENOS AIRES,Berisso,Barrio El Carmen (Este),00,--,--,--,0,--,SI,0,SI,SI,00,0,"-57,8853552505795"
0,Berisso,Barrio Universitario,00,0,--,--,0,0,--,0,SI,SI,60980100,0,"-57,9270884333304"
ENTRE RIOS,Colón,0,00,--,--,0,--,SI,--,--,SI,0,300081000,"-32,1819017485871","-58,1918561863469"
ENTRE RIOS,0,0,580,--,0,0,--,--,0,--,0,--,300080400,"-31,9629513486876",0
0,General Pinto,General Pinto,65570,0,--,SI,--,0,--,0,SI,SI,00,0,"-61,8900674920122"
BUENOS AIRES,General Pinto,Germania (Est Mayor José Orellano),00,SI,--,--,0,--,--,--,SI,SI,00,"-34,576111833277","-62,0518306894073"
BUENOS AIRES,General Pinto,0,230,--,--,0,--,--,0,--,0,0,63510350,"-34,5994995308259",0
BUENOS AIRES,0,Villa Francia (Est Coronel Granada),11760,--,0,--,SI,SI,0,SI,--,0,63510400,"-34,7913160212074","-62,2011090686366"
BUENOS AIRES,General Pinto,Villa Roth (Est Ingeniero Balbín),00,0,--,--,0,--,--,0,--,--,63510500,0,"-62,1710489234118"
0,General Pueyrredón,Barrio Colinas Verdes,00,0,--,--,--,0,SI,--,SI,SI,00,"-37,8931024789245","-57,8261645643114"
0,General Pueyrredón,Barrio El Boquerón,00,0,--,--,0,0,SI,--,--,0,63570200,"-38,0297229162982","-57,7995485049706"
BUENOS AIRES,General Pueyrredón,Barrio El Casal,00,--,--,--,0,--,SI,--,0,0,63571100,"-37,8324145231571",0
BUENOS AIRES,0,0,00,--,0,0,SI,--,0,--,SI,SI,00,"-37,9050810135269","-57,7391824086455"
BUENOS AIRES,General Pueyrredón,0,4150,--,--,0,--,--,SI,0,SI,SI,00,0,"-57,7858860640391"
BUENOS AIRES,General Pueyrredón,Barrio Santa Paula,00,--,--,--,0,SI,SI,--,0,SI,63570600,"-37,9317157840639",0
0,General Pueyrredón,Batán,00,0,--,--,SI,0,SI,SI,SI,0,63570700,"-38,0086211557001",0
0,General Pueyrredón,Camet,00,0,--,--,0,0,SI,SI,SI,SI,00,"-37,9130763908367","-57,552463851894"
ENTRE RIOS,Colón,Hocker,00,--,--,--,0,--,SI,0,--,SI,00,0,"-58,3417058444451"
BUENOS AIRES,0,0,426630,SI,0,0,SI,--,0,SI,SI,0,65150100,"-34,4790933125467","-58,6989741628196"
BUENOS AIRES,Malvinas Argentinas,0,591690,SI,SI,0,SI,SI,SI,SI,0,SI,65150100,"-34,5078746726212",0
BUENOS AIRES,0,0,4080,--,0,0,SI,--,SI,0,--,--,00,0,"-58,7013439131882"
BUENOS AIRES,0,Tortuguitas,459010,SI,0,--,SI,--,0,SI,SI,SI,00,"-34,4746661471823","-58,7513344097631"
BUENOS AIRES,Malvinas Argentinas,Villa De Mayo,00,SI,SI,SI,0,--,SI,SI,0,0,65150100,"-34,5061507591135",0
0,Mar Chiquita,Atlantida,00,0,--,--,--,0,--,--,SI,0,65180200,"-37,8505519250944","-57,5134595632837"
BUENOS AIRES,0,Camet Norte,00,--,0,--,--,--,0,--,SI,SI,00,0,"-57,4974692762018"
BUENOS AIRES,0,0,66110,SI,0,0,SI,--,0,0,SI,SI,65180100,0,"-57,7299500229319"
BUENOS AIRES,Mar Chiquita,Frente Mar,00,--,--,--,0,--,--,--,0,0,65180200,"-37,857770246553",0
0,San Miguel,San Miguel,00,0,SI,SI,0,0,SI,SI,0,SI,67600100,"-34,5536228677773",0
BUENOS AIRES,San Nicolás,0,00,--,--,0,--,--,--,0,--,--,00,0,"-60,2846972878391"
BUENOS AIRES,0,0,20660,SI,0,0,--,SI,0,0,SI,SI,67630100,0,"-60,3541264450858"
BUENOS AIRES,0,Erézcano,4340,--,0,--,--,--,0,--,0,--,67630200,"-33,5232449410318",0
BUENOS AIRES,San Nicolás,0,24640,--,--,0,SI,SI,0,SI,0,0,67630300,"-33,4758683523604",0
0,San Nicolás,La Emilia,53250,0,--,--,--,0,--,0,SI,SI,67630400,0,"-60,3139573529074"
0,San Nicolás,San Nicolás de los Arroyos,00,SI,SI,SI,0,SI,SI,SI,SI,SI,00,"-33,3487082868277","-60,231333927581"
BUENOS AIRES,0,0,00,--,0,0,--,--,0,--,SI,0,67630100,"-33,3599587304228","-60,3000892882903"
BUENOS AIRES,0,Villa Canto,00,--,0,--,--,--,0,--,0,0,67630100,"-33,3708479748",0
BUENOS AIRES,0,Villa Esperanza,3860,--,0,--,--,--,0,--,--,--,00,"-33,422326147095","-60,2605874904382"
BUENOS AIRES,San Nicolás,0,00,--,--,0,--,--,--,0,--,--,67630100,0,"-60,2953990898749"
0,San Pedro,Gobernador Castro,00,0,--,--,--,0,--,--,0,0,67700100,"-33,6605787290919",0
BUENOS AIRES,San Pedro,Ingeniero Moneta,00,--,--,--,0,--,--,--,0,--,67700150,"-33,9314631330704",0
0,San Pedro,Obligado,00,0,--,--,0,0,--,0,--,SI,67700200,0,"-59,8199792397796"
0,San Pedro,Pueblo Doyle,5280,0,--,--,--,0,--,0,--,--,00,0,"-59,8187532271261"
